contrato,Nome,Proc_dnit,Proc_ipaam,Contratos,Lote,Supervisao,Operacao
01 00354/2021,Alvarães,50013.000168/2018-81,01.01.030201.015352/2023-11,SR-354-2021,LOTE 4 - MANUTENÇÃO E REGULARIZAÇÃO DE IP4s,Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00916/2020,Anori,50601.001364/2018-43,01.01.030201.017856/2024-57,DAQ-186/2023,"LOTE 5 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00032/2021,Autazes,50013.000853/2019-99,01.01.030201.025221/2024-23,SR-032/2021,"LOTE 6 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00032/2021,Barcelos,50013.000149/2019-36,01.01.030201.025220/2024-89,SR-032/2021,"LOTE 6 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00915/2020,Barreirinha,50013.000444/2020-26,01.01.030201.021594/2024-25,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00352/2021,Benjamin Constant,50013.000439/2019-80,01.01.030201.019835/2024-76,SR-352/2021,"LOTE 2 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00916/2020,Beruri,50013.000855/2019-88,01.01.030201.024824/2024-08,DAQ-186/2023,"LOTE 5 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00915/2020,Boa Vista do Ramos,50013.000440/2019-12,01.01.030201.018011/2024-89,DAQ-185/2023,"LOTE 1 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00353/2021,Borba,50013.000865/2019-13,01.01.030201.020292/2024-30,SR-353/2021,"LOTE 3 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA,Antonelly Construções e Serviços LTDA
01 00916/2020,Canutama,50013.000062/2020-01,01.01.030201.019313/2024-74,DAQ-186/2023,"LOTE 5 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00354/2021,Carauari,50013.000443/2020-81,01.01.030201.024886/2024-10,SR-354-2021,LOTE 4 - MANUTENÇÃO E REGULARIZAÇÃO DE IP4s,R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00032/2021,Careiro da Várzea,50601.001931/2021-67,01.01.030201.018878/2024-34,SR-032/2021,"LOTE 6 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",R Peotta Engenharia e Consultoria LTDA.,Antonelly Construções e Serviços LTDA
01 00352/2021,Coari,50013.000854/2019-33,01.01.030201.023165/2024-92,SR-352/2021,"LOTE 2 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00916/2020,Codajás,50013.000360/2019-59,01.01.030201.020350/2024-25,DAQ-186/2023,"LOTE 5 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00354/2021,Eirunepé,50013.000442/2020-37,01.01.030201.019794/2024-18,SR-354-2021,LOTE 4 - MANUTENÇÃO E REGULARIZAÇÃO DE IP4s,Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00354/2021,Envira,50013.000445/2020-71,01.01.030201.013145/2023-22,SR-354-2021,LOTE 4 - MANUTENÇÃO E REGULARIZAÇÃO DE IP4s,Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00352/2021,Fonte Boa,50013.000441/2019-59,01.01.030201.023504/2024-30,SR-352/2021,"LOTE 2 - OPERAÇÃO, MANUTENÇÃO E REGULARIZAÇÃO DE IP4s",Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
01 00354/2021,Guajará,50013.000441/2020-92,01.01.030201.019745/2024-85,SR-354-2021,LOTE 4 - MANUTENÇÃO E REGULARIZAÇÃO DE IP4s,Laghi Engenharia LTDA,Antonelly Construções e Serviços LTDA
